x,y
10,24132.2
10.01,25276.4
10.02,24565.6
10.03,24947
10.04,24981.7
10.05,26195.3
10.06,26507.3
10.07,26247.3
10.08,25657.8
10.09,25553.8
10.1,25935.2
10.11,24981.7
10.12,24704.3
10.13,25224.4
10.14,25137.7
10.15,25328.4
10.16,24773.7
10.17,25761.8
10.18,24045.5
10.19,25900.5
10.2,25917.9
10.21,24392.3
10.22,25467.1
10.23,25432.5
10.24,25588.5
10.25,25137.7
10.26,25536.5
10.27,25484.5
10.28,25137.7
10.29,25779.2
10.3,27010.1
10.31,25657.8
10.32,25345.8
10.33,25605.8
10.34,26212.6
10.35,25207.1
10.36,25848.5
10.37,24843
10.38,27374.1
10.39,25120.4
10.4,25779.2
10.41,25311.1
10.42,25259.1
10.43,26281.9
10.44,25709.8
10.45,25727.2
10.46,25345.8
10.47,25761.8
10.48,25519.1
10.49,26368.6
10.5,26698
10.51,25744.5
10.52,26229.9
10.53,26281.9
10.54,25519.1
10.55,25415.1
10.56,25727.2
10.57,26108.6
10.58,26281.9
10.59,25553.8
10.6,27010.1
10.61,26472.6
10.62,26559.3
10.63,26403.3
10.64,25727.2
10.65,28015.6
10.66,28362.3
10.67,27547.5
10.68,27530.2
10.69,29367.8
10.7,27928.9
10.71,27582.2
10.72,27131.4
10.73,27374.1
10.74,27443.5
10.75,28119.6
10.76,28032.9
10.77,28553
10.78,28293
10.79,28899.7
10.8,28171.6
10.81,29177.1
10.82,28865.1
10.83,29679.9
10.84,28293
10.85,30373.3
10.86,28761
10.87,28050.2
10.88,27738.2
10.89,29055.8
10.9,28223.6
10.91,28223.6
10.92,28570.3
10.93,27824.9
10.94,27911.6
10.95,27998.2
10.96,26108.6
10.97,26125.9
10.98,25917.9
10.99,25848.5
11,25536.5
11.01,26125.9
11.02,26611.3
11.03,26490
11.04,26472.6
11.05,25189.7
11.06,24704.3
11.07,26299.3
11.08,26507.3
11.09,24947
11.1,24947
11.11,26056.6
11.12,26455.3
11.13,25917.9
11.14,25155.1
11.15,27512.8
11.16,24825.7
11.17,25363.1
11.18,25328.4
11.19,26039.2
11.2,25796.5
11.21,26264.6
11.22,26438
11.23,25467.1
11.24,25432.5
11.25,26091.2
11.26,24374.9
11.27,27235.4
11.28,26247.3
11.29,24756.3
11.3,25484.5
11.31,25311.1
11.32,25952.5
11.33,25432.5
11.34,26143.2
11.35,26091.2
11.36,25311.1
11.37,25657.8
11.38,25900.5
11.39,25449.8
11.4,26091.2
11.41,26316.6
11.42,25536.5
11.43,25345.8
11.44,26143.2
11.45,26056.6
11.46,26750
11.47,25137.7
11.48,26992.7
11.49,25935.2
11.5,25432.5
11.51,25883.2
11.52,25779.2
11.53,24929.7
11.54,26316.6
11.55,26039.2
11.56,25831.2
11.57,26056.6
11.58,26125.9
11.59,24669.7
11.6,25657.8
11.61,25848.5
11.62,25727.2
11.63,26316.6
11.64,25952.5
11.65,26472.6
11.66,26923.4
11.67,26073.9
11.68,25848.5
11.69,26611.3
11.7,25276.4
11.71,27876.9
11.72,27218.1
11.73,26958.1
11.74,25640.5
11.75,25553.8
11.76,26871.4
11.77,26940.7
11.78,27495.5
11.79,26229.9
11.8,26108.6
11.81,26143.2
11.82,25605.8
11.83,24860.4
11.84,25033.7
11.85,26125.9
11.86,25865.9
11.87,27235.4
11.88,27287.4
11.89,26108.6
11.9,26299.3
11.91,26351.3
11.92,26958.1
11.93,26940.7
11.94,25865.9
11.95,25501.8
11.96,25952.5
11.97,26871.4
11.98,26819.4
11.99,26177.9
12,25657.8
12.01,26906
12.02,26438
12.03,25779.2
12.04,25068.4
12.05,25519.1
12.06,25935.2
12.07,26316.6
12.08,26611.3
12.09,25709.8
12.1,26212.6
12.11,26472.6
12.12,25571.1
12.13,25900.5
12.14,25709.8
12.15,26403.3
12.16,26854
12.17,26663.3
12.18,25311.1
12.19,26698
12.2,25935.2
12.21,27044.7
12.22,27287.4
12.23,25623.2
12.24,26663.3
12.25,26802
12.26,26663.3
12.27,26698
12.28,26091.2
12.29,26229.9
12.3,26472.6
12.31,25744.5
12.32,26940.7
12.33,25935.2
12.34,26732.7
12.35,26559.3
12.36,26438
12.37,26594
12.38,25952.5
12.39,26888.7
12.4,25744.5
12.41,26056.6
12.42,27426.1
12.43,26611.3
12.44,26940.7
12.45,27807.5
12.46,25987.2
12.47,26281.9
12.48,26940.7
12.49,26386
12.5,26143.2
12.51,25727.2
12.52,26247.3
12.53,26767.4
12.54,26472.6
12.55,27374.1
12.56,27304.8
12.57,27114.1
12.58,27131.4
12.59,25224.4
12.6,27079.4
12.61,26004.6
12.62,25467.1
12.63,26524.6
12.64,26368.6
12.65,26108.6
12.66,27356.8
12.67,27356.8
12.68,26663.3
12.69,27443.5
12.7,26715.3
12.71,26750
12.72,26663.3
12.73,27876.9
12.74,26819.4
12.75,27634.2
12.76,27443.5
12.77,27322.1
12.78,25536.5
12.79,27270.1
12.8,26247.3
12.81,27044.7
12.82,26732.7
12.83,26125.9
12.84,26316.6
12.85,28171.6
12.86,27287.4
12.87,27114.1
12.88,27495.5
12.89,26125.9
12.9,28136.9
12.91,27287.4
12.92,27720.9
12.93,26229.9
12.94,27148.8
12.95,27443.5
12.96,27391.5
12.97,27062.1
12.98,28119.6
12.99,27374.1
13,27790.2
13.01,27807.5
13.02,25848.5
13.03,26386
13.04,26802
13.05,27495.5
13.06,27824.9
13.07,28761
13.08,26177.9
13.09,26958.1
13.1,27599.5
13.11,26732.7
13.12,27304.8
13.13,27235.4
13.14,25536.5
13.15,26784.7
13.16,26784.7
13.17,26715.3
13.18,27651.5
13.19,27304.8
13.2,27408.8
13.21,26906
13.22,27218.1
13.23,27755.5
13.24,27079.4
13.25,27842.2
13.26,26073.9
13.27,26594
13.28,26698
13.29,27946.2
13.3,28102.3
13.31,27010.1
13.32,27183.4
13.33,25831.2
13.34,27252.8
13.35,27200.8
13.36,26940.7
13.37,26333.9
13.38,27252.8
13.39,28032.9
13.4,26750
13.41,27564.8
13.42,25640.5
13.43,27720.9
13.44,27564.8
13.45,27010.1
13.46,27738.2
13.47,27304.8
13.48,27374.1
13.49,27114.1
13.5,26628.7
13.51,27790.2
13.52,28414.3
13.53,28154.3
13.54,26420.6
13.55,26507.3
13.56,27426.1
13.57,26576.7
13.58,27530.2
13.59,26507.3
13.6,27703.5
13.61,27391.5
13.62,28674.4
13.63,28102.3
13.64,26351.3
13.65,26906
13.66,26559.3
