Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI20wt_01_0001_0029-1_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.01716
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
11.6	5382.52
11.62	5039.34
11.64	5147.71
11.66	5075.46
11.68	5256.08
11.7	5328.33
11.72	5219.96
11.74	4660.03
11.76	4985.15
11.78	5111.59
11.8	5256.08
11.82	5328.33
11.84	5292.21
11.86	5201.9
11.88	5436.71
11.9	5364.46
11.92	4876.78
11.94	4696.16
11.96	4605.85
11.98	4840.66
12	4623.91
12.02	4768.41
12.04	4912.9
12.06	5165.77
12.08	4678.1
12.1	5165.77
12.12	5256.08
12.14	5418.64
12.16	4641.97
12.18	5310.27
12.2	5129.65
12.22	4967.09
12.24	4533.6
12.26	5021.28
12.28	4985.15
12.3	5436.71
12.32	4804.53
12.34	5183.84
12.36	5599.27
12.38	5183.84
12.4	4569.72
12.42	5129.65
12.44	5256.08
12.46	5201.9
12.48	5960.51
12.5	5274.15
12.52	5508.95
12.54	5328.33
12.56	5219.96
12.58	5201.9
12.6	5147.71
12.62	5147.71
12.64	5599.27
12.66	5382.52
12.68	4985.15
12.7	5165.77
12.72	4641.97
12.74	5328.33
12.76	4786.47
12.78	5617.33
12.8	5328.33
12.82	5183.84
12.84	5292.21
12.86	5111.59
12.88	4930.97
12.9	5274.15
12.92	5960.51
12.94	5942.45
12.96	5581.2
12.98	4894.84
13	5400.58
13.02	5508.95
13.04	5274.15
13.06	5057.4
13.08	5256.08
13.1	5075.46
13.12	5454.77
13.14	5219.96
13.16	5219.96
13.18	4660.03
13.2	4714.22
13.22	5599.27
13.24	5310.27
13.26	5183.84
13.28	5238.02
13.3	5093.53
13.32	5581.2
13.34	5165.77
13.36	4551.66
13.38	4967.09
13.4	4912.9
13.42	5093.53
13.44	5003.21
13.46	4425.23
13.48	5129.65
13.5	4714.22
13.52	4623.91
13.54	4569.72
13.56	5328.33
13.58	5003.21
13.6	4551.66
13.62	5436.71
13.64	5039.34
13.66	5147.71
13.68	5328.33
13.7	5238.02
13.72	5310.27
13.74	5346.4
13.76	5400.58
13.78	5129.65
13.8	5238.02
13.82	4930.97
13.84	5201.9
13.86	5310.27
13.88	5093.53
13.9	5003.21
13.92	5219.96
13.94	5129.65
13.96	5165.77
13.98	5364.46
14	5219.96
14.02	5238.02
14.04	5165.77
14.06	4912.9
14.08	5165.77
14.1	4858.72
14.12	4479.41
14.14	4822.59
14.16	4985.15
14.18	5364.46
14.2	5400.58
14.22	4804.53
14.24	5129.65
14.26	4967.09
14.28	4732.28
14.3	5111.59
14.32	4696.16
14.34	5129.65
14.36	4443.29
14.38	5093.53
14.4	5075.46
14.42	4912.9
14.44	5147.71
14.46	4912.9
14.48	4696.16
14.5	4786.47
14.52	4696.16
14.54	4949.03
14.56	5039.34
14.58	4930.97
14.6	4804.53
14.62	5093.53
14.64	4732.28
14.66	5256.08
14.68	4786.47
14.7	4533.6
14.72	5039.34
14.74	4912.9
14.76	5075.46
14.78	5328.33
14.8	5274.15
14.82	4858.72
14.84	5075.46
14.86	4949.03
14.88	4967.09
14.9	5075.46
14.92	4967.09
14.94	4605.85
14.96	4840.66
14.98	5021.28
15	4750.34
15.02	4750.34
15.04	5274.15
15.06	5165.77
15.08	4768.41
15.1	4985.15
15.12	4587.79
15.14	4930.97
15.16	4696.16
15.18	4551.66
15.2	4605.85
15.22	5238.02
15.24	4876.78
15.26	4967.09
15.28	4678.1
15.3	4786.47
15.32	4840.66
15.34	4930.97
15.36	5400.58
15.38	4967.09
15.4	4967.09
15.42	4768.41
15.44	5003.21
15.46	4641.97
15.48	4876.78
15.5	4822.59
15.52	4985.15
15.54	4569.72
15.56	4985.15
15.58	4912.9
15.6	4479.41
15.62	5093.53
15.64	4912.9
15.66	5292.21
15.68	4930.97
15.7	4569.72
15.72	5093.53
15.74	5328.33
15.76	4443.29
15.78	4858.72
15.8	4678.1
15.82	4949.03
15.84	5238.02
15.86	4515.54
15.88	5183.84
15.9	4894.84
15.92	4407.16
15.94	5527.02
15.96	5057.4
15.98	4515.54
16	4894.84
16.02	4967.09
16.04	4858.72
16.06	4244.6
16.08	4768.41
16.1	4660.03
16.12	4316.85
16.14	4804.53
16.16	4985.15
16.18	4316.85
16.2	4641.97
16.22	4930.97
16.24	4623.91
16.26	4389.1
16.28	4985.15
16.3	4623.91
16.32	4876.78
16.34	3847.24
16.36	5057.4
16.38	4949.03
16.4	4660.03
16.42	4786.47
16.44	4786.47
16.46	4696.16
16.48	4515.54
16.5	4822.59
16.52	4551.66
16.54	4352.98
16.56	4587.79
16.58	4569.72
16.6	4623.91
16.62	4154.29
16.64	4551.66
16.66	4822.59
16.68	4641.97
16.7	4551.66
16.72	4714.22
16.74	4750.34
16.76	4371.04
16.78	5219.96
16.8	4154.29
16.82	4479.41
16.84	4660.03
16.86	5219.96
16.88	4732.28
16.9	4641.97
16.92	4660.03
16.94	4407.16
16.96	4732.28
16.98	4696.16
17	4876.78
17.02	4678.1
17.04	4840.66
17.06	4912.9
17.08	5292.21
17.1	4515.54
17.12	4876.78
17.14	5581.2
17.16	4678.1
17.18	4660.03
17.2	5219.96
17.22	4894.84
17.24	5003.21
17.26	5238.02
17.28	5183.84
17.3	4949.03
17.32	5508.95
17.34	5147.71
17.36	5039.34
17.38	5147.71
17.4	5093.53
17.42	4587.79
17.44	4623.91
17.46	4876.78
17.48	4569.72
17.5	4533.6
17.52	5057.4
17.54	4551.66
17.56	4714.22
17.58	5021.28
