Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI30wt_04_0004_0099-1_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.01652
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
5	5743.76
5.02	5653.45
5.04	5328.33
5.06	5635.39
5.08	5346.4
5.1	5400.58
5.12	5743.76
5.14	5689.58
5.16	5563.14
5.18	5382.52
5.2	5599.27
5.22	6032.76
5.24	5635.39
5.26	5960.51
5.28	5527.02
5.3	5743.76
5.32	5274.15
5.34	5834.07
5.36	5725.7
5.38	5870.2
5.4	6159.19
5.42	5292.21
5.44	5779.89
5.46	5563.14
5.48	5707.64
5.5	5689.58
5.52	5996.63
5.54	5563.14
5.56	5454.77
5.58	5274.15
5.6	5490.89
5.62	5382.52
5.64	5201.9
5.66	5490.89
5.68	5924.38
5.7	5382.52
5.72	5274.15
5.74	5490.89
5.76	5545.08
5.78	5328.33
5.8	5093.53
5.82	5635.39
5.84	5454.77
5.86	5545.08
5.88	4930.97
5.9	5238.02
5.92	5436.71
5.94	5617.33
5.96	5075.46
5.98	5310.27
6	5328.33
6.02	5599.27
6.04	5057.4
6.06	5671.51
6.08	5563.14
6.1	5238.02
6.12	5653.45
6.14	5924.38
6.16	5003.21
6.18	4786.47
6.2	5238.02
6.22	4930.97
6.24	5075.46
6.26	5454.77
6.28	4840.66
6.3	5292.21
6.32	5111.59
6.34	5093.53
6.36	5545.08
6.38	5545.08
6.4	5183.84
6.42	5147.71
6.44	5256.08
6.46	5201.9
6.48	5400.58
6.5	5870.2
6.52	5219.96
6.54	4858.72
6.56	5725.7
6.58	4696.16
6.6	5400.58
6.62	5346.4
6.64	5364.46
6.66	5057.4
6.68	5183.84
6.7	5039.34
6.72	4840.66
6.74	4930.97
6.76	5238.02
6.78	5057.4
6.8	4461.35
6.82	5490.89
6.84	5490.89
6.86	4840.66
6.88	4804.53
6.9	5021.28
6.92	5129.65
6.94	5653.45
6.96	5725.7
6.98	5527.02
7	5238.02
7.02	4605.85
7.04	4858.72
7.06	4750.34
7.08	4352.98
7.1	5129.65
7.12	5039.34
7.14	5039.34
7.16	5256.08
7.18	5129.65
7.2	4714.22
7.22	5165.77
7.24	4949.03
7.26	4967.09
7.28	5021.28
7.3	5057.4
7.32	5129.65
7.34	4876.78
7.36	5238.02
7.38	5274.15
7.4	4985.15
7.42	5346.4
7.44	5093.53
7.46	5274.15
7.48	4876.78
7.5	4912.9
7.52	4840.66
7.54	4551.66
7.56	5635.39
7.58	4804.53
7.6	5563.14
7.62	4822.59
7.64	5093.53
7.66	5129.65
7.68	5039.34
7.7	5057.4
7.72	4678.1
7.74	4949.03
7.76	5292.21
7.78	4876.78
7.8	5003.21
7.82	4985.15
7.84	4660.03
7.86	4822.59
7.88	4858.72
7.9	4876.78
7.92	5057.4
7.94	5527.02
7.96	4696.16
7.98	4569.72
8	4660.03
8.02	5003.21
8.04	4678.1
8.06	4352.98
8.08	4515.54
8.1	4678.1
8.12	5545.08
8.14	4515.54
8.16	4930.97
8.18	5021.28
8.2	4840.66
8.22	4804.53
8.24	4985.15
8.26	4515.54
8.28	4461.35
8.3	4876.78
8.32	4930.97
8.34	5039.34
8.36	4587.79
8.38	4551.66
8.4	5165.77
8.42	5129.65
8.44	4714.22
8.46	4641.97
8.48	4443.29
8.5	4732.28
8.52	4641.97
8.54	4840.66
8.56	4678.1
8.58	4930.97
8.6	5219.96
8.62	5274.15
8.64	4660.03
8.66	4551.66
8.68	5147.71
8.7	4768.41
8.72	5147.71
8.74	4714.22
8.76	4912.9
8.78	4768.41
