Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiTFSI24wt_04_0004_0099-1_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.01756
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
11.62	5093.53
11.64	5689.58
11.66	5960.51
11.68	5617.33
11.7	5617.33
11.72	5671.51
11.74	6068.88
11.76	5057.4
11.78	5183.84
11.8	5816.01
11.82	6448.19
11.84	6267.56
11.86	5472.83
11.88	5527.02
11.9	5545.08
11.92	5581.2
11.94	5364.46
11.96	5888.26
11.98	5274.15
12	5743.76
12.02	6213.38
12.04	6303.69
12.06	6068.88
12.08	5292.21
12.1	5978.57
12.12	5671.51
12.14	5779.89
12.16	6375.94
12.18	6737.18
12.2	5996.63
12.22	5274.15
12.24	5527.02
12.26	5761.82
12.28	5797.95
12.3	5617.33
12.32	5834.07
12.34	5292.21
12.36	5942.45
12.38	6123.07
12.4	6032.76
12.42	5870.2
12.44	6375.94
12.46	6520.44
12.48	5563.14
12.5	5797.95
12.52	5996.63
12.54	5797.95
12.56	6285.63
12.58	5996.63
12.6	5418.64
12.62	6014.69
12.64	5671.51
12.66	6574.62
12.68	5870.2
12.7	6141.13
12.72	5761.82
12.74	6249.5
12.76	6014.69
12.78	5960.51
12.8	5527.02
12.82	5779.89
12.84	5563.14
12.86	5653.45
12.88	6014.69
12.9	5870.2
12.92	6068.88
12.94	6068.88
12.96	5436.71
12.98	5545.08
13	5545.08
13.02	5870.2
13.04	5960.51
13.06	5472.83
13.08	6177.25
13.1	5743.76
13.12	5563.14
13.14	5870.2
13.16	5978.57
13.18	5472.83
13.2	5129.65
13.22	5870.2
13.24	6357.88
13.26	6303.69
13.28	5418.64
13.3	5671.51
13.32	5906.32
13.34	5978.57
13.36	5508.95
13.38	5816.01
13.4	5563.14
13.42	5671.51
13.44	5563.14
13.46	5292.21
13.48	5274.15
13.5	5635.39
13.52	5942.45
13.54	5689.58
13.56	5852.14
13.58	5599.27
13.6	5274.15
13.62	5870.2
13.64	6267.56
13.66	5653.45
13.68	5779.89
13.7	6357.88
13.72	5707.64
13.74	5545.08
13.76	6177.25
13.78	5563.14
13.8	5779.89
13.82	5816.01
13.84	5797.95
13.86	5689.58
13.88	5888.26
13.9	5689.58
13.92	5545.08
13.94	5834.07
13.96	5996.63
13.98	6177.25
14	5527.02
14.02	5960.51
14.04	5761.82
14.06	5256.08
14.08	5870.2
14.1	5183.84
14.12	5779.89
14.14	5942.45
14.16	5527.02
14.18	5671.51
14.2	6086.94
14.22	5653.45
14.24	4912.9
14.26	5761.82
14.28	5527.02
14.3	5581.2
14.32	6123.07
14.34	6394
14.36	6123.07
14.38	6574.62
14.4	5508.95
14.42	5888.26
14.44	6520.44
14.46	5328.33
14.48	5942.45
14.5	5436.71
14.52	5870.2
14.54	6014.69
14.56	5274.15
14.58	6032.76
14.6	5617.33
14.62	5472.83
14.64	5418.64
14.66	6141.13
14.68	5707.64
14.7	5238.02
14.72	5761.82
14.74	6141.13
14.76	5527.02
14.78	6177.25
14.8	5761.82
14.82	5201.9
14.84	5725.7
14.86	5779.89
14.88	5635.39
14.9	5400.58
14.92	5707.64
14.94	6267.56
14.96	5852.14
14.98	6050.82
15	6303.69
15.02	6249.5
15.04	5129.65
15.06	5996.63
15.08	6105.01
15.1	5093.53
15.12	5852.14
15.14	6177.25
15.16	5671.51
15.18	6123.07
15.2	5003.21
15.22	5400.58
15.24	5472.83
15.26	5400.58
15.28	5328.33
15.3	5292.21
15.32	5545.08
15.34	5201.9
15.36	6032.76
15.38	5382.52
15.4	5924.38
15.42	6177.25
15.44	5490.89
15.46	5960.51
15.48	5779.89
15.5	6159.19
15.52	5183.84
15.54	5328.33
15.56	5400.58
15.58	5292.21
15.6	5653.45
15.62	5310.27
15.64	5743.76
15.66	5310.27
15.68	5472.83
15.7	5942.45
15.72	5039.34
15.74	5508.95
15.76	5238.02
15.78	5689.58
15.8	5310.27
15.82	5418.64
15.84	5093.53
15.86	5545.08
15.88	5183.84
15.9	5599.27
15.92	5165.77
15.94	5238.02
15.96	5057.4
15.98	4750.34
16	5328.33
16.02	4858.72
16.04	5599.27
16.06	5382.52
16.08	5219.96
16.1	5599.27
16.12	5328.33
16.14	5003.21
16.16	5996.63
16.18	5346.4
16.2	5436.71
16.22	5617.33
16.24	5689.58
16.26	5201.9
16.28	5707.64
16.3	4678.1
16.32	6141.13
16.34	5129.65
16.36	5382.52
