Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI_02_0001_0079-2_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.00908
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
11.64	2438.39
11.66	2835.76
11.68	2962.19
11.7	2420.33
11.72	2637.07
11.74	2637.07
11.76	2384.2
11.78	2871.88
11.8	2564.82
11.82	2835.76
11.84	2456.45
11.86	2366.14
11.88	2384.2
11.9	2348.08
11.92	2817.69
11.94	2926.07
11.96	2600.95
11.98	2275.83
12	2637.07
12.02	2582.89
12.04	2546.76
12.06	2727.38
12.08	2348.08
12.1	2528.7
12.12	2564.82
12.14	2691.26
12.16	2853.82
12.18	2528.7
12.2	2492.58
12.22	2510.64
12.24	3233.12
12.26	2817.69
12.28	2817.69
12.3	2691.26
12.32	2799.63
12.34	3106.69
12.36	2799.63
12.38	2853.82
12.4	2655.14
12.42	2871.88
12.44	3215.06
12.46	3323.44
12.48	3648.55
12.5	3287.31
12.52	4172.36
12.54	3901.42
12.56	3594.37
12.58	3305.37
12.6	2908.01
12.62	2564.82
12.64	2673.2
12.66	2781.57
12.68	2853.82
12.7	2637.07
12.72	2438.39
12.74	2799.63
12.76	2871.88
12.78	2619.01
12.8	2528.7
12.82	2438.39
12.84	2366.14
12.86	1986.84
12.88	2456.45
12.9	2889.94
12.92	3088.63
12.94	2528.7
12.96	2492.58
12.98	2727.38
13	2330.02
13.02	2781.57
13.04	2167.46
13.06	2420.33
13.08	2637.07
13.1	2330.02
13.12	2619.01
13.14	2384.2
13.16	2077.15
13.18	2528.7
13.2	2474.51
13.22	2456.45
13.24	2510.64
13.26	2492.58
13.28	2709.32
13.3	2528.7
13.32	2113.27
13.34	2348.08
13.36	2402.27
13.38	2709.32
13.4	2420.33
13.42	2564.82
13.44	2691.26
13.46	2745.45
13.48	2709.32
13.5	2510.64
13.52	2149.4
13.54	2691.26
13.56	2275.83
13.58	2293.89
13.6	2510.64
13.62	2131.33
13.64	2113.27
13.66	2239.71
13.68	2510.64
13.7	2402.27
13.72	2239.71
13.74	2257.77
13.76	2311.95
13.78	2510.64
13.8	2673.2
13.82	2348.08
13.84	2835.76
13.86	2348.08
13.88	2564.82
13.9	2402.27
13.92	2275.83
13.94	2853.82
13.96	2275.83
13.98	2564.82
14	2763.51
14.02	2655.14
14.04	2474.51
14.06	2239.71
14.08	2293.89
14.1	2311.95
14.12	2456.45
