Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI_03_0001_0099-4_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.00908
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
11.64	2889.94
11.66	2799.63
11.68	2366.14
11.7	2926.07
11.72	2528.7
11.74	2998.32
11.76	2348.08
11.78	2673.2
11.8	2456.45
11.82	2709.32
11.84	2763.51
11.86	3070.56
11.88	2619.01
11.9	2908.01
11.92	2474.51
11.94	2763.51
11.96	2745.45
11.98	2817.69
12	2221.64
12.02	2600.95
12.04	2600.95
12.06	2330.02
12.08	2727.38
12.1	2709.32
12.12	2637.07
12.14	2871.88
12.16	2619.01
12.18	2944.13
12.2	2709.32
12.22	2691.26
12.24	2799.63
12.26	2619.01
12.28	2474.51
12.3	2817.69
12.32	2691.26
12.34	3016.38
12.36	3052.5
12.38	2763.51
12.4	3016.38
12.42	2889.94
12.44	2889.94
12.46	2926.07
12.48	3341.5
12.5	4009.8
12.52	3774.99
12.54	3395.68
12.56	3359.56
12.58	2835.76
12.6	2673.2
12.62	2637.07
12.64	2528.7
12.66	2926.07
12.68	2438.39
12.7	2311.95
12.72	2673.2
12.74	2799.63
12.76	2980.25
12.78	2655.14
12.8	2691.26
12.82	2564.82
12.84	2564.82
12.86	2402.27
12.88	2763.51
12.9	2817.69
12.92	2456.45
12.94	2492.58
12.96	2384.2
12.98	2691.26
13	2582.89
13.02	2709.32
13.04	2619.01
13.06	2655.14
13.08	2492.58
13.1	2402.27
13.12	2817.69
13.14	2239.71
13.16	2366.14
13.18	2239.71
13.2	2185.52
13.22	2709.32
13.24	2564.82
13.26	2510.64
13.28	2330.02
13.3	2330.02
13.32	2366.14
13.34	2077.15
13.36	2474.51
13.38	2691.26
13.4	2655.14
13.42	2528.7
13.44	2691.26
13.46	2474.51
13.48	2384.2
13.5	2239.71
13.52	2962.19
13.54	2564.82
13.56	2582.89
13.58	1950.71
13.6	2221.64
13.62	2113.27
13.64	2438.39
13.66	2546.76
13.68	2384.2
13.7	2311.95
13.72	2528.7
13.74	2420.33
13.76	2330.02
13.78	2348.08
13.8	2763.51
13.82	2438.39
13.84	2474.51
13.86	3124.75
13.88	2474.51
13.9	2438.39
13.92	2619.01
13.94	2275.83
13.96	2564.82
13.98	2366.14
14	2149.4
14.02	2438.39
14.04	2131.33
14.06	2203.58
14.08	2348.08
14.1	2637.07
14.12	2275.83
14.14	2348.08
14.16	2926.07
14.18	3016.38
14.2	2420.33
14.22	2528.7
14.24	2203.58
14.26	2564.82
14.28	2402.27
14.3	2510.64
14.32	2492.58
14.34	2348.08
14.36	2420.33
14.38	2384.2
14.4	2510.64
14.42	2293.89
14.44	2564.82
14.46	2366.14
14.48	2402.27
14.5	2348.08
14.52	2095.21
14.54	2384.2
14.56	2330.02
14.58	2456.45
14.6	2095.21
14.62	2456.45
14.64	2113.27
14.66	2492.58
14.68	2384.2
14.7	2546.76
14.72	2384.2
14.74	2311.95
14.76	2402.27
14.78	2600.95
14.8	2167.46
14.82	2041.02
14.84	2149.4
14.86	2221.64
14.88	2619.01
14.9	2799.63
14.92	2546.76
14.94	2889.94
14.96	2709.32
14.98	2582.89
15	2727.38
15.02	2709.32
15.04	2510.64
15.06	3070.56
15.08	2438.39
15.1	2763.51
15.12	2348.08
15.14	2546.76
15.16	2781.57
15.18	2275.83
15.2	2330.02
15.22	2564.82
15.24	2510.64
15.26	2456.45
15.28	2384.2
15.3	2492.58
15.32	2456.45
15.34	2348.08
15.36	2835.76
15.38	2510.64
15.4	2113.27
15.42	2402.27
15.44	2293.89
15.46	2420.33
15.48	2908.01
15.5	2438.39
15.52	2330.02
15.54	2293.89
15.56	1752.03
15.58	2546.76
15.6	2402.27
15.62	2348.08
15.64	2384.2
15.66	2438.39
15.68	2221.64
15.7	2293.89
15.72	2944.13
15.74	2510.64
15.76	2348.08
15.78	2185.52
15.8	2619.01
15.82	2239.71
15.84	2474.51
15.86	2492.58
15.88	2438.39
15.9	2673.2
15.92	2510.64
15.94	3052.5
15.96	3178.94
15.98	3738.86
16	3359.56
16.02	4009.8
16.04	4334.92
16.06	3937.55
16.08	3504.06
16.1	3341.5
16.12	2835.76
16.14	2257.77
16.16	2564.82
16.18	2402.27
16.2	2293.89
16.22	2239.71
16.24	2528.7
16.26	2438.39
16.28	2402.27
16.3	1950.71
16.32	1878.46
16.34	2402.27
16.36	2004.9
16.38	2420.33
16.4	2402.27
16.42	2239.71
16.44	2402.27
16.46	2293.89
16.48	2203.58
16.5	2384.2
16.52	2275.83
16.54	2384.2
16.56	2366.14
16.58	1968.77
16.6	2275.83
16.62	2113.27
16.64	2257.77
16.66	2041.02
16.68	2619.01
16.7	2095.21
16.72	2059.08
16.74	2275.83
16.76	2113.27
16.78	2185.52
16.8	2077.15
16.82	2402.27
16.84	2131.33
16.86	2492.58
16.88	2239.71
16.9	2185.52
16.92	2257.77
16.94	2131.33
16.96	2203.58
16.98	2311.95
17	2059.08
17.02	1950.71
17.04	2384.2
17.06	2203.58
17.08	2004.9
17.1	2492.58
17.12	2275.83
17.14	2077.15
17.16	1986.84
17.18	2203.58
17.2	2275.83
17.22	2221.64
17.24	2022.96
17.26	1932.65
17.28	1788.15
17.3	1842.34
17.32	2420.33
17.34	2293.89
17.36	1788.15
17.38	2221.64
17.4	2203.58
17.42	2239.71
17.44	2348.08
17.46	2059.08
17.48	2221.64
17.5	1932.65
17.52	2311.95
17.54	2203.58
17.56	1932.65
17.58	2059.08
17.6	2203.58
17.62	2113.27
17.64	2366.14
17.66	2004.9
17.68	2149.4
17.7	2149.4
17.72	2077.15
17.74	2655.14
17.76	2619.01
17.78	2944.13
17.8	3016.38
17.82	3395.68
17.84	3287.31
17.86	4479.41
17.88	4660.03
17.9	5725.7
17.92	6321.75
17.94	6574.62
17.96	7008.11
17.98	5978.57
18	5761.82
18.02	4045.92
18.04	3160.88
18.06	2944.13
18.08	2311.95
18.1	1986.84
18.12	2077.15
18.14	2275.83
18.16	2239.71
18.18	2438.39
18.2	2420.33
18.22	1715.9
18.24	2366.14
18.26	2673.2
18.28	2637.07
18.3	2889.94
18.32	3395.68
18.34	3576.31
18.36	4226.54
18.38	4497.47
18.4	5256.08
18.42	5310.27
18.44	5111.59
18.46	5003.21
18.48	4407.16
18.5	3377.62
18.52	3287.31
18.54	2889.94
18.56	2384.2
18.58	2600.95
18.6	2348.08
18.62	2510.64
18.64	2131.33
18.66	1733.97
18.68	2041.02
18.7	2348.08
18.72	1986.84
18.74	2077.15
18.76	1968.77
18.78	1806.21
18.8	2149.4
18.82	1788.15
18.84	2293.89
18.86	1968.77
18.88	1968.77
18.9	2293.89
18.92	2257.77
18.94	2203.58
18.96	2095.21
18.98	2655.14
19	2492.58
19.02	2691.26
19.04	2835.76
19.06	2817.69
19.08	3251.19
19.1	3558.24
19.12	4226.54
19.14	5165.77
19.16	5508.95
19.18	6502.37
19.2	5761.82
19.22	5274.15
19.24	4641.97
19.26	3106.69
19.28	3160.88
19.3	3034.44
19.32	2239.71
19.34	2528.7
19.36	2366.14
19.38	1770.09
19.4	2004.9
19.42	2564.82
19.44	2041.02
19.46	2022.96
19.48	2257.77
19.5	2077.15
19.52	2113.27
19.54	1986.84
19.56	2239.71
19.58	2059.08
19.6	2167.46
19.62	2131.33
19.64	2185.52
19.66	1842.34
19.68	1842.34
19.7	1914.59
19.72	2149.4
19.74	2185.52
19.76	1697.84
19.78	1842.34
19.8	2022.96
19.82	1914.59
19.84	1950.71
19.86	2293.89
19.88	2041.02
19.9	2203.58
19.92	2420.33
19.94	2221.64
19.96	2131.33
19.98	2438.39
20	2600.95
20.02	2546.76
20.04	2420.33
20.06	2655.14
20.08	2041.02
20.1	2203.58
20.12	1842.34
20.14	2167.46
20.16	1986.84
20.18	2149.4
20.2	1806.21
20.22	1950.71
20.24	2257.77
20.26	1932.65
20.28	1914.59
20.3	2004.9
20.32	2004.9
20.34	1788.15
20.36	1788.15
20.38	1878.46
20.4	1824.28
20.42	1860.4
20.44	1697.84
20.46	1788.15
20.48	2203.58
20.5	2167.46
20.52	1986.84
20.54	1896.53
20.56	1986.84
20.58	1806.21
20.6	2149.4
20.62	1860.4
20.64	2311.95
20.66	1752.03
20.68	2077.15
20.7	1986.84
20.72	1968.77
20.74	1679.78
20.76	2113.27
20.78	1842.34
20.8	2077.15
20.82	2311.95
20.84	2275.83
20.86	2546.76
20.88	2998.32
20.9	2817.69
20.92	3774.99
20.94	4678.1
20.96	5761.82
20.98	6339.81
21	7549.98
21.02	7658.35
21.04	6502.37
21.06	5852.14
21.08	4389.1
21.1	3540.18
21.12	3305.37
21.14	2456.45
21.16	1950.71
21.18	2348.08
21.2	1896.53
21.22	1896.53
21.24	1733.97
21.26	1914.59
21.28	1878.46
21.3	1950.71
21.32	1824.28
21.34	1842.34
21.36	1715.9
21.38	1517.22
21.4	1517.22
21.42	1932.65
21.44	1842.34
21.46	2095.21
21.48	1715.9
21.5	1679.78
21.52	1914.59
21.54	1661.72
21.56	2059.08
21.58	2221.64
21.6	2113.27
21.62	1788.15
21.64	1770.09
21.66	1733.97
21.68	1896.53
21.7	1770.09
21.72	1661.72
21.74	1878.46
21.76	2149.4
21.78	1986.84
21.8	1715.9
21.82	1878.46
21.84	1589.47
21.86	1643.66
21.88	2004.9
21.9	1733.97
21.92	1752.03
21.94	1607.53
21.96	1986.84
21.98	1860.4
22	1589.47
22.02	1643.66
22.04	1788.15
22.06	1589.47
22.08	1715.9
22.1	1679.78
22.12	1571.41
22.14	1914.59
22.16	1697.84
22.18	1625.59
22.2	1715.9
22.22	1824.28
22.24	1842.34
22.26	1806.21
22.28	1715.9
22.3	1553.34
22.32	1444.97
22.34	1643.66
22.36	1733.97
22.38	1914.59
22.4	1625.59
22.42	1752.03
22.44	1499.16
22.46	1896.53
22.48	1336.6
22.5	1625.59
22.52	1878.46
22.54	2059.08
22.56	2095.21
22.58	1679.78
22.6	2077.15
22.62	1950.71
22.64	2041.02
22.66	1661.72
22.68	1571.41
22.7	1842.34
22.72	1679.78
22.74	1914.59
22.76	1228.23
22.78	1535.28
22.8	1625.59
22.82	1643.66
22.84	1752.03
22.86	1625.59
22.88	1553.34
22.9	1842.34
22.92	1770.09
22.94	2041.02
22.96	1860.4
22.98	1679.78
23	1481.1
23.02	2022.96
23.04	2041.02
23.06	1824.28
23.08	1607.53
23.1	1589.47
23.12	1607.53
23.14	1643.66
23.16	1932.65
23.18	1607.53
23.2	1444.97
23.22	1968.77
23.24	2149.4
23.26	2113.27
23.28	1950.71
23.3	2257.77
23.32	2293.89
23.34	2203.58
23.36	2095.21
23.38	1914.59
23.4	1788.15
23.42	1607.53
23.44	1607.53
23.46	1174.04
23.48	1499.16
23.5	1499.16
23.52	1246.29
23.54	1372.72
23.56	1517.22
23.58	1571.41
23.6	1553.34
23.62	1643.66
23.64	1463.03
23.66	1390.79
23.68	1661.72
23.7	1517.22
23.72	1282.41
23.74	1625.59
23.76	1372.72
23.78	1517.22
23.8	1228.23
23.82	1481.1
23.84	1571.41
23.86	1607.53
23.88	1535.28
23.9	1607.53
23.92	1481.1
23.94	1336.6
23.96	1444.97
23.98	1553.34
24	1715.9
24.02	1715.9
24.04	1101.79
24.06	1643.66
24.08	1643.66
24.1	1733.97
24.12	1571.41
24.14	1661.72
24.16	1607.53
24.18	1354.66
24.2	1444.97
24.22	1408.85
24.24	1625.59
24.26	1426.91
24.28	1192.1
24.3	1137.92
24.32	1463.03
24.34	1463.03
24.36	1426.91
24.38	1210.16
24.4	1318.54
24.42	1354.66
24.44	1463.03
24.46	1372.72
24.48	1354.66
24.5	1589.47
24.52	1336.6
24.54	1408.85
24.56	1264.35
24.58	1806.21
24.6	1354.66
24.62	1137.92
24.64	1390.79
24.66	1336.6
24.68	1553.34
24.7	1228.23
24.72	1336.6
24.74	1318.54
24.76	1426.91
24.78	1481.1
24.8	1372.72
24.82	1390.79
