x,y
13.61,28136.9
13.62,29454.5
13.63,29125.1
13.64,30408
13.65,29125.1
13.66,30095.9
13.67,29679.9
13.68,31361.5
13.69,28483.7
13.7,29974.6
13.71,28605
13.72,28466.3
13.73,28449
13.74,29038.4
13.75,31361.5
13.76,29142.4
13.77,29367.8
13.78,30061.3
13.79,30078.6
13.8,28969.1
13.81,30078.6
13.82,29627.9
13.83,29697.2
13.84,30529.3
13.85,30633.4
13.86,30338.6
13.87,29887.9
13.88,29385.1
13.89,28761
13.9,28917.1
13.91,29263.8
13.92,30061.3
13.93,30529.3
13.94,29697.2
13.95,29679.9
13.96,29038.4
13.97,28882.4
13.98,30442.7
13.99,29402.5
14,30026.6
14.01,28986.4
14.02,29835.9
14.03,29818.6
14.04,29783.9
14.05,29402.5
14.06,29038.4
14.07,29853.2
14.08,29333.1
14.09,30200
14.1,29801.2
14.11,30026.6
14.12,29957.2
14.13,30321.3
14.14,29038.4
14.15,28206.3
14.16,29558.5
14.17,30408
14.18,30754.7
14.19,31344.2
14.2,30026.6
14.21,29974.6
14.22,28951.7
14.23,28518.3
14.24,29142.4
14.25,29697.2
14.26,29870.6
14.27,29731.9
14.28,30061.3
14.29,29246.5
14.3,29315.8
14.31,29003.7
14.32,28379.6
14.33,29783.9
14.34,29957.2
14.35,30425.3
14.36,29419.8
14.37,30182.6
14.38,30252
14.39,30200
14.4,29610.5
14.41,29142.4
14.42,29159.8
14.43,30390.7
14.44,31222.8
14.45,29367.8
14.46,29870.6
14.47,30581.4
14.48,29662.5
14.49,29385.1
14.5,30078.6
14.51,30078.6
14.52,30009.3
14.53,28761
14.54,29679.9
14.55,30650.7
14.56,29801.2
14.57,30356
14.58,30286.6
14.59,29177.1
14.6,30026.6
14.61,29177.1
14.62,29887.9
14.63,30408
14.64,29991.9
14.65,29246.5
14.66,29558.5
14.67,28605
14.68,28518.3
14.69,28969.1
14.7,30477.3
14.71,29107.8
14.72,29974.6
14.73,29697.2
14.74,28622.3
14.75,29662.5
14.76,30147.9
14.77,29541.2
14.78,29055.8
14.79,29558.5
14.8,29194.4
14.81,29159.8
14.82,29402.5
14.83,30564
14.84,30321.3
14.85,30147.9
14.86,30200
14.87,29835.9
14.88,30061.3
14.89,29142.4
14.9,28449
14.91,28743.7
14.92,29177.1
14.93,29575.8
14.94,29107.8
14.95,29541.2
14.96,29801.2
14.97,29333.1
14.98,29402.5
14.99,29679.9
15,29142.4
15.01,29835.9
15.02,30356
15.03,29749.2
15.04,29610.5
15.05,30928.1
15.06,29298.5
15.07,29298.5
15.08,30182.6
15.09,29263.8
15.1,28709
15.11,30356
15.12,30546.7
15.13,28397
15.14,29211.8
15.15,30113.3
15.16,29558.5
15.17,29229.1
15.18,29333.1
15.19,29697.2
15.2,30529.3
15.21,28882.4
15.22,28726.4
15.23,30373.3
15.24,29073.1
15.25,29211.8
15.26,29073.1
15.27,29558.5
15.28,30650.7
15.29,29419.8
15.3,29333.1
15.31,28414.3
15.32,29385.1
15.33,28813
15.34,29783.9
15.35,29038.4
15.36,29957.2
15.37,28778.4
15.38,29454.5
15.39,28223.6
15.4,28501
15.41,28813
15.42,29003.7
15.43,29142.4
15.44,29350.5
15.45,29506.5
15.46,30824.1
15.47,29298.5
15.48,28362.3
15.49,29367.8
15.5,29385.1
15.51,28813
15.52,29281.1
15.53,28795.7
15.54,28969.1
15.55,28136.9
15.56,29125.1
15.57,28518.3
15.58,29229.1
15.59,29610.5
15.6,28553
15.61,29939.9
15.62,29333.1
15.63,28691.7
15.64,28847.7
15.65,28761
15.66,30078.6
15.67,29073.1
15.68,29281.1
15.69,30078.6
15.7,29506.5
15.71,28015.6
15.72,28726.4
15.73,29333.1
15.74,29107.8
15.75,30650.7
15.76,29731.9
15.77,29714.5
15.78,29471.8
15.79,29281.1
15.8,29749.2
15.81,28622.3
15.82,29281.1
15.83,27894.2
15.84,28240.9
15.85,28414.3
15.86,28865.1
15.87,29385.1
15.88,28934.4
15.89,29159.8
15.9,28605
15.91,28691.7
15.92,29263.8
15.93,28969.1
15.94,29246.5
15.95,28188.9
15.96,29263.8
15.97,28379.6
15.98,28570.3
15.99,29055.8
16,28119.6
16.01,28830.4
16.02,28917.1
16.03,28397
16.04,28414.3
16.05,29402.5
16.06,28570.3
16.07,28761
16.08,28691.7
16.09,28865.1
16.1,29489.2
16.11,29471.8
16.12,27790.2
16.13,27634.2
16.14,29419.8
16.15,28258.3
16.16,28778.4
16.17,28032.9
16.18,27894.2
16.19,28362.3
16.2,28327.6
16.21,29939.9
16.22,29211.8
16.23,28119.6
16.24,28258.3
16.25,28449
16.26,29021.1
16.27,28986.4
16.28,27564.8
16.29,28951.7
16.3,28917.1
16.31,28414.3
16.32,29229.1
16.33,28379.6
16.34,28709
16.35,28136.9
16.36,28275.6
16.37,29177.1
16.38,28414.3
16.39,28102.3
16.4,28050.2
16.41,27651.5
16.42,28605
16.43,28397
16.44,29003.7
16.45,28501
16.46,27547.5
16.47,27339.5
16.48,28535.7
16.49,28327.6
16.5,27200.8
16.51,28778.4
16.52,28084.9
16.53,28726.4
16.54,27027.4
16.55,28223.6
16.56,27582.2
16.57,28969.1
16.58,28535.7
16.59,27287.4
16.6,28258.3
16.61,29055.8
16.62,28414.3
16.63,28674.4
16.64,27443.5
16.65,28275.6
16.66,27651.5
16.67,28362.3
16.68,29454.5
16.69,27686.2
16.7,27686.2
16.71,28119.6
16.72,27876.9
16.73,28570.3
16.74,28639.7
16.75,27426.1
16.76,28275.6
16.77,28154.3
16.78,27824.9
16.79,28223.6
16.8,27651.5
16.81,27703.5
16.82,28553
16.83,27183.4
16.84,27634.2
16.85,28917.1
16.86,27998.2
16.87,27928.9
16.88,28917.1
16.89,29021.1
16.9,29367.8
16.91,27894.2
16.92,27859.5
16.93,28899.7
16.94,29211.8
16.95,28709
16.96,29627.9
16.97,28934.4
16.98,29125.1
16.99,29818.6
17,29246.5
17.01,29194.4
17.02,29385.1
17.03,29853.2
17.04,29263.8
17.05,29419.8
17.06,28969.1
17.07,30356
17.08,29835.9
17.09,28899.7
17.1,29229.1
17.11,29593.2
17.12,30702.7
17.13,30304
17.14,30165.3
17.15,30009.3
17.16,30546.7
17.17,30356
17.18,28882.4
17.19,29783.9
17.2,29887.9
17.21,28917.1
17.22,29558.5
17.23,29887.9
17.24,28258.3
17.25,29905.2
17.26,27790.2
17.27,28795.7
17.28,28743.7
17.29,28310.3
17.3,28206.3
17.31,28483.7
17.32,29211.8
17.33,29263.8
17.34,29003.7
17.35,28934.4
17.36,28449
17.37,28240.9
17.38,29315.8
17.39,28813
17.4,30356
17.41,28102.3
17.42,27998.2
17.43,27686.2
17.44,27564.8
17.45,28795.7
17.46,28240.9
17.47,29367.8
17.48,27807.5
17.49,28813
17.5,28830.4
17.51,28899.7
17.52,28188.9
17.53,28397
17.54,28535.7
17.55,28015.6
17.56,28015.6
17.57,27044.7
17.58,28483.7
17.59,29367.8
17.6,28240.9
17.61,26646
17.62,27408.8
17.63,26646
17.64,27339.5
17.65,28171.6
17.66,27010.1
17.67,27686.2
17.68,29003.7
17.69,27668.8
17.7,28171.6
17.71,27010.1
17.72,26351.3
17.73,26386
17.74,27252.8
17.75,27027.4
17.76,27616.8
17.77,27304.8
17.78,27651.5
17.79,26871.4
17.8,26576.7
17.81,27876.9
17.82,26906
17.83,27547.5
17.84,26264.6
17.85,26871.4
17.86,26663.3
17.87,26524.6
17.88,26056.6
17.89,26594
17.9,26680.7
17.91,26871.4
17.92,27426.1
17.93,26559.3
17.94,26559.3
17.95,26576.7
17.96,26281.9
17.97,25917.9
17.98,27114.1
17.99,25952.5
18,26021.9
18.01,25865.9
18.02,26767.4
18.03,25813.9
18.04,26906
18.05,27114.1
18.06,27218.1
18.07,26160.6
18.08,27235.4
18.09,26802
18.1,26802
18.11,26542
18.12,27044.7
18.13,26611.3
18.14,27131.4
18.15,26316.6
18.16,26091.2
18.17,26992.7
18.18,26438
18.19,27443.5
18.2,27460.8
18.21,27218.1
18.22,26784.7
18.23,26975.4
18.24,26663.3
18.25,26819.4
18.26,27478.1
18.27,27339.5
18.28,26507.3
18.29,26611.3
18.3,26559.3
18.31,26524.6
18.32,26611.3
18.33,26871.4
18.34,27512.8
18.35,27599.5
18.36,27287.4
18.37,26490
18.38,28345
18.39,27114.1
18.4,26004.6
18.41,25761.8
18.42,27252.8
18.43,27114.1
18.44,25553.8
18.45,25605.8
18.46,26368.6
18.47,27044.7
18.48,25640.5
18.49,27235.4
18.5,26680.7
18.51,27374.1
18.52,26628.7
18.53,26281.9
18.54,26542
18.55,27183.4
18.56,27738.2
18.57,27564.8
18.58,26732.7
18.59,25657.8
18.6,26108.6
18.61,26784.7
18.62,25675.2
18.63,25744.5
18.64,25917.9
18.65,25588.5
18.66,25397.8
18.67,26663.3
18.68,26229.9
18.69,26125.9
18.7,26229.9
18.71,26160.6
18.72,26264.6
18.73,26784.7
18.74,26316.6
18.75,25657.8
18.76,25293.8
18.77,26438
18.78,25588.5
18.79,26472.6
18.8,26021.9
18.81,25987.2
18.82,26056.6
18.83,26611.3
18.84,26351.3
18.85,26039.2
18.86,26854
18.87,27287.4
18.88,26646
18.89,26819.4
18.9,26542
18.91,26160.6
18.92,26472.6
18.93,27079.4
18.94,27166.1
18.95,27183.4
18.96,27200.8
18.97,27582.2
18.98,27062.1
