x,y
13.66,18705.9
13.67,18289.9
13.68,18758
13.69,18255.2
13.7,18740.6
13.71,18341.9
13.72,17908.5
13.73,18445.9
13.74,18341.9
13.75,18914
13.76,19018
13.77,18463.2
13.78,19676.8
13.79,18549.9
13.8,19000.7
13.81,19070
13.82,18619.3
13.83,18151.2
13.84,18359.2
13.85,18792.6
13.86,18879.3
13.87,18307.2
13.88,19070
13.89,17388.4
13.9,18810
13.91,18896.6
13.92,18341.9
13.93,18133.8
13.94,18688.6
13.95,17925.8
13.96,18775.3
13.97,17648.4
13.98,18341.9
13.99,18948.7
14,18203.2
14.01,18272.5
14.02,19746.1
14.03,18896.6
14.04,18671.3
14.05,19087.3
14.06,18428.6
14.07,19104.7
14.08,18099.2
14.09,19018
14.1,17856.5
14.11,18723.3
14.12,17024.3
14.13,18185.9
14.14,18393.9
14.15,17735.1
14.16,18272.5
14.17,18220.5
14.18,18168.5
14.19,17717.8
14.2,18497.9
14.21,18688.6
14.22,18601.9
14.23,17769.8
14.24,18723.3
14.25,18879.3
14.26,18133.8
14.27,18619.3
14.28,18532.6
14.29,18376.6
14.3,18549.9
14.31,17613.8
14.32,18445.9
14.33,17943.1
14.34,17943.1
14.35,18272.5
14.36,19035.3
14.37,18601.9
14.38,19052.7
14.39,18255.2
14.4,17752.4
14.41,19035.3
14.42,18688.6
14.43,18047.2
14.44,17371
14.45,17839.1
14.46,18740.6
14.47,18393.9
14.48,17804.5
14.49,18480.6
14.5,18047.2
14.51,17509.7
14.52,18151.2
14.53,18029.8
14.54,17596.4
14.55,18081.8
14.56,17527.1
14.57,17457.7
14.58,18359.2
14.59,18341.9
14.6,18064.5
14.61,17977.8
14.62,17995.2
14.63,18185.9
14.64,17960.5
14.65,17839.1
14.66,17613.8
14.67,18047.2
14.68,18376.6
14.69,17319
14.7,17977.8
14.71,18862
14.72,18601.9
14.73,17631.1
14.74,18012.5
14.75,18723.3
14.76,18549.9
14.77,17457.7
14.78,17007
14.79,18047.2
14.8,18081.8
14.81,17457.7
14.82,18133.8
14.83,17735.1
14.84,17336.4
14.85,16833.6
14.86,17648.4
14.87,18428.6
14.88,18428.6
14.89,18047.2
14.9,17388.4
14.91,17024.3
14.92,17440.4
14.93,17475.1
14.94,18671.3
14.95,18168.5
14.96,17717.8
14.97,18237.9
14.98,17561.7
14.99,17561.7
15,18012.5
15.01,17717.8
15.02,17267
15.03,17735.1
15.04,17128.3
15.05,17475.1
15.06,17943.1
15.07,16868.3
15.08,18272.5
15.09,18810
15.1,18237.9
15.11,18012.5
15.12,17509.7
15.13,18133.8
15.14,18220.5
15.15,17301.7
15.16,17995.2
15.17,17648.4
15.18,17648.4
15.19,17735.1
15.2,18255.2
15.21,18705.9
15.22,17752.4
15.23,17908.5
15.24,17388.4
15.25,17423.1
15.26,17717.8
15.27,17475.1
15.28,17752.4
15.29,18168.5
15.3,17509.7
15.31,18151.2
15.32,17475.1
15.33,16660.3
15.34,17752.4
15.35,19572.8
15.36,18428.6
15.37,18151.2
15.38,17509.7
15.39,17683.1
15.4,17873.8
15.41,17804.5
15.42,18237.9
15.43,18359.2
15.44,18047.2
15.45,17180.3
15.46,18775.3
15.47,18653.9
15.48,17371
15.49,16851
15.5,18289.9
15.51,17700.4
15.52,16798.9
15.53,17440.4
15.54,17925.8
15.55,18151.2
15.56,17267
15.57,17007
15.58,17249.7
15.59,16816.3
15.6,17059
15.61,17891.1
15.62,18567.3
15.63,17891.1
15.64,18168.5
15.65,18116.5
15.66,18012.5
15.67,17492.4
15.68,17163
15.69,18081.8
15.7,18185.9
15.71,17769.8
15.72,17423.1
15.73,17613.8
15.74,17821.8
15.75,17821.8
15.76,18497.9
15.77,17752.4
15.78,17336.4
