X	Real	Imaginary
170.07918608415778	-0.00021829719803	-0.00280652010998
170.04986987661769	-0.00024767346918	-0.0028017488092
170.02055366907763	-0.00027455086766	-0.0027943142557
169.99123746153754	-0.00029906975149	-0.00278506565749
169.96192125399747	-0.00032161781163	-0.00277460113566
169.93260504645738	-0.00034270151443	-0.00276320470297
169.90328883891732	-0.00036280469733	-0.00275083632871
169.87397263137723	-0.00038225432472	-0.00273717625396
169.84465642383716	-0.00040111266698	-0.00272171756817
169.81534021629707	-0.00041911195639	-0.00270389455097
169.78602400875701	-0.00043564225241	-0.00268322924481
169.75670780121692	-0.00044979643252	-0.00265947581752
169.72739159367686	-0.00046046873306	-0.00263274191067
169.69807538613676	-0.00046649601842	-0.00260356846173
169.6687591785967	-0.00046682487054	-0.00257295421712
169.63944297105661	-0.00046068346039	-0.00254231779739
169.61012676351655	-0.00044773556309	-0.00251339795796
169.58081055597646	-0.00042819528489	-0.00248810067273
169.55149434843639	-0.00040288502258	-0.00246830886177
169.5221781408963	-0.00037322546768	-0.00245567606872
169.49286193335624	-0.00034115439435	-0.0024514284315
169.46354572581615	-0.0003089796019	-0.00245619942554
169.43422951827608	-0.00027917967692	-0.00246991898155
169.40491331073599	-0.00025417316351	-0.00249177294742
169.37559710319593	-0.00023608138883	-0.00252024108034
169.34628089565584	-0.00022651194411	-0.0025532127076
169.31696468811577	-0.00022638836489	-0.00258816995052
169.28764848057568	-0.00023584697222	-0.00262242008626
169.25833227303562	-0.00025421459587	-0.00265335226697
169.22901606549553	-0.0002800718082	-0.00267869025037
169.19969985795547	-0.00031139640624	-0.00269671252787
169.17038365041537	-0.00034577236832	-0.00270641438211
169.14106744287531	-0.00038064154032	-0.00270759266739
169.11175123533522	-0.00041356987562	-0.00270084280038
169.08243502779516	-0.00044249787513	-0.00268746757625
169.05311882025507	-0.0004659462816	-0.00266930779389
169.023802612715	-0.00048315297741	-0.00264851403457
168.99448640517491	-0.00049412489298	-0.00262728613997
168.96517019763485	-0.00049959865651	-0.00260761106779
168.93585399009476	-0.00050091454161	-0.00259103031299
168.90653778255469	-0.00049981870054	-0.00257846484763
168.8772215750146	-0.00049821743929	-0.00257011888648
168.84790536747454	-0.00049791330812	-0.00256547447995
168.81858915993445	-0.00050035527854	-0.0025633780631
168.78927295239436	-0.00050643390396	-0.00256220894281
168.75995674485429	-0.00051634723105	-0.0025601096355
168.7306405373142	-0.00052955491718	-0.00255525020767
168.70132432977414	-0.00054482748497	-0.00254609429113
168.67200812223405	-0.00056038615902	-0.0025316338247
168.64269191469398	-0.0005741176618	-0.00251156293135
168.61337570715389	-0.00058383904167	-0.00248636830887
168.58405949961383	-0.00058758120666	-0.00245732328519
168.55474329207374	-0.00058385714268	-0.00242638410953
168.52542708453367	-0.00057188215912	-0.00239599875321
168.49611087699358	-0.00055171879237	-0.00236884907089
168.46679466945352	-0.00052432759595	-0.00234755534354
168.43747846191343	-0.00049151593844	-0.00233437699653
168.40816225437337	-0.00045578881835	-0.0023309440726
168.37884604683327	-0.00042011716687	-0.00233805073825
168.34952983929321	-0.00038764877352	-0.00235553510295
168.32021363175312	-0.00036139368263	-0.00238225977259
168.29089742421306	-0.00034391887548	-0.00241619602415
168.26158121667297	-0.00033708593561	-0.0024546026604
168.2322650091329	-0.0003418603499	-0.00249427989151
168.20294880159281	-0.00035821275734	-0.00253187026311
168.17363259405275	-0.00038512184702	-0.00256417367562
168.14431638651266	-0.00042067701852	-0.00258844247063
168.11500017897259	-0.00046226774799	-0.00260262546967
168.0856839714325	-0.00050683718008	-0.00260553632595
168.05636776389244	-0.00055117088576	-0.00259693074989
168.02705155635235	-0.00059218872125	-0.00257748793246
167.99773534881228	-0.00062720857332	-0.00254870248379
167.96841914127219	-0.00065415528344	-0.00251270309087
167.93910293373213	-0.00067169555936	-0.00247202170493
167.90978672619204	-0.000679289201	-0.00242934152989
167.88047051865198	-0.00067715725357	-0.00238725294569
167.85115431111188	-0.0006661774515	-0.0023480437728
167.82183810357182	-0.00064772532994	-0.00231354442903
167.79252189603173	-0.00062348470096	-0.00228504039554
167.76320568849167	-0.00059525323739	-0.00226325511551
167.73388948095158	-0.0005647675276	-0.00224839723693
167.70457327341151	-0.00053356746364	-0.00224025818189
167.67525706587142	-0.00050291290356	-0.00223834038097
167.64594085833136	-0.00047375721522	-0.00224199383411
167.61662465079127	-0.00044677373513	-0.00225053921625
167.58730844325117	-0.00042242354544	-0.0022633593704
167.55799223571111	-0.00040104731954	-0.00227994713974
167.52867602817102	-0.00038296106131	-0.0022999051763
167.49935982063096	-0.00036853573464	-0.00232290151041
167.47004361309087	-0.00035824398582	-0.00234859210561
167.4407274055508	-0.00035266292428	-0.00237652729335
167.41141119801071	-0.00035242941266	-0.00240606206417
167.38209499047065	-0.00035815245504	-0.00243629022732
167.35277878293056	-0.00037029489122	-0.00246601940012
167.32346257539049	-0.00038904260076	-0.00249379803971
167.2941463678504	-0.00041418289466	-0.00251799804874
167.26483016031034	-0.00044501416399	-0.0025369479178
167.23551395277025	-0.00048030601328	-0.00254910309412
167.20619774523018	-0.00051832331887	-0.00255323345943
167.17688153769009	-0.00055691961321	-0.00254860345554
167.14756533015003	-0.00059369591782	-0.00253511920714
167.11824912260994	-0.00062621183676	-0.00251341924555
167.08893291506988	-0.0006522276214	-0.0024848909764
167.05961670752978	-0.00066995014714	-0.00245160326532
167.03030049998972	-0.00067825315194	-0.00241615547769
