X	Real	Imaginary
170.07918608415778	-0.0008514959443	-0.00079867531869
170.02055366907763	-0.00087301478223	-0.00075191968618
169.96192125399747	-0.00085377267968	-0.00069950711426
169.90328883891732	-0.0007985328742	-0.00067157282185
169.84465642383716	-0.00073200999086	-0.00068823608057
169.78602400875701	-0.00068718130759	-0.00074805211918
169.72739159367686	-0.00068842696845	-0.00082751739137
169.6687591785967	-0.00073860535169	-0.00089239233397
169.61012676351655	-0.0008172726912	-0.00091498359822
169.55149434843639	-0.00089119846692	-0.00088805573094
169.49286193335624	-0.00093149415193	-0.00082779125721
169.43422951827608	-0.00092796509241	-0.00076427992578
169.37559710319593	-0.00089287539464	-0.00072497992484
169.31696468811577	-0.00085232472341	-0.00072048114755
169.25833227303562	-0.00083045442717	-0.00074047164561
169.19969985795547	-0.00083570247646	-0.0007618707957
169.14106744287531	-0.00085700597617	-0.00076406070464
169.08243502779516	-0.00087196759309	-0.00074208244321
169.023802612715	-0.00086196404218	-0.00070992421232
168.96517019763485	-0.00082507047266	-0.00069189244232
168.90653778255469	-0.00077890739301	-0.00070712429268
168.84790536747451	-0.00075139870287	-0.00075645344522
168.78927295239436	-0.00076456365904	-0.00081963267141
168.7306405373142	-0.00082070337273	-0.0008649994932
168.67200812223405	-0.00089918605121	-0.00086643864124
168.61337570715389	-0.00096609568006	-0.00081812933061
168.55474329207374	-0.00099166927623	-0.00073862132608
168.49611087699358	-0.00096592171347	-0.00066170407516
168.43747846191343	-0.00090376097	-0.00061895795459
168.37884604683327	-0.00083673938778	-0.00062357063853
168.32021363175312	-0.00079604845998	-0.00066428737987
168.26158121667297	-0.00079620449102	-0.00071265726752
168.20294880159281	-0.00082836032901	-0.00073930043131
168.14431638651266	-0.00086665150666	-0.00072998122727
168.0856839714325	-0.00088363410342	-0.00069259700724
168.02705155635235	-0.00086588981518	-0.00065151788323
167.96841914127219	-0.00082104654948	-0.00063292901176
167.90978672619204	-0.00077258983094	-0.00064979180327
167.85115431111188	-0.00074589107629	-0.00069497120475
167.79252189603173	-0.00075377613312	-0.00074612661005
167.73388948095158	-0.00078994000813	-0.00077908945604
167.67525706587142	-0.00083370670523	-0.00078165797724
167.61662465079127	-0.00086292795074	-0.00075975378199
167.55799223571111	-0.00086714787639	-0.0007325914748
167.49935982063096	-0.00085321130668	-0.00072007029885
167.4407274055508	-0.00084014280188	-0.00073013386944
167.38209499047065	-0.00084656679944	-0.00075373132184
167.32346257539049	-0.00087835996696	-0.00077038310784
167.26483016031034	-0.00092404403722	-0.00076098881317
167.20619774523018	-0.00096079229889	-0.00072018315612
167.14756533015003	-0.00096760164493	-0.00066078832016
167.08893291506988	-0.00093790780433	-0.00060755625525
167.03030049998972	-0.00088419660456	-0.00058369008305
166.97166808490957	-0.00083180495728	-0.00059787889253
